,Source,Topic_ID,Most_freq_words
0,Twitter,0,"['want', 'change', 'understand', 's', 'keep', 'speak', 'really', 'always', 'check', 'find']"
1,Twitter,1,"['time', 'kid', 'try', 'check', 'kill', 'find', 'hurt', 'always', 'live', 'day']"
2,Twitter,2,"['people', 'give', 'hard', 'worth', 'emotional', 'real', 'wrong', 'kill', 'hurt', 'd']"
3,Twitter,3,"['see', 'really', 'check', 'way', 'survivor', 'person', 'kill', 'try', 'd', 'always']"
4,Twitter,4,"['take', 'life', 'always', 'back', 'try', 'kill', 'find', 'd', 'check', 'give']"
5,Twitter,5,"['ask', 'let', 'stop', 'start', 'find', 'try', 'check', 'd', 'always', 'live']"
6,Twitter,6,"['bad', 'fault', 'hurt', 'call', 'kill', 'try', 'always', 'd', 'live', 'find']"
7,Twitter,7,"['get', 'help', 'thing', 'ever', 'even', 'day', 'come', 'kill', 'd', 'live']"
8,Twitter,8,"['read', 'say', 'tell', 'kill', 'd', 'else', 'friend', 'do', 'always', 'live']"
9,Twitter,9,"['woman', 'man', 'talk', 'show', 'kill', 'find', 'try', 'hurt', 'check', 'go']"
10,Twitter,10,"['love', 'think', 'find', 'm', 'long', 'much', 'check', 'kill', 'hurt', 'give']"
11,Twitter,11,"['leave', 'never', 'child', 'afraid', 'find', 'try', 'd', 'kill', 'give', 'really']"
12,Twitter,12,"['amp', 'powerful', 'right', 'important', 'share', 'story', 'find', 'try', 'd', 'give']"
13,Twitter,13,"['well', 'need', 'victim', 'deserve', 'hashtag', 'home', 'learn', 'kill', 'd', 'really']"
14,Twitter,14,"['family', 'try', 'abuser', 'look', 'mom', 'threaten', 'beat', 'kill', 'd', 'really']"
15,Twitter,15,"['know', 'hit', 'year', 'live', 'give', 'find', 'try', 'check', 'really', 'd']"
16,Twitter,16,"['make', 'believe', 'good', 'today', 'feel', 'kill', 'find', 'try', 'check', 'hurt']"
17,Twitter,17,"['still', 'fear', 'hope', 'daughter', 'really', 'find', 'try', 'd', 'always', 'give']"
18,Twitter,18,"['go', 'feel', 'enough', 'thought', 'break', 'alone', 'support', 'work', 'check', 'find']"
19,Twitter,19,"['stay', 'happen', 'realize', 'reason', 'many', 'much', 'abuse', 'relationship', 'really', 'try']"
